,timestamp,photoIndex,V,geometry,pictureUrl
12601,1496843121.64,31.0,22.7230090249,POINT (-73.974158765 40.64494441),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_f0d0b_59384808ef0dc.jpg
12909,1496843124.65,32.0,38.5522803665,POINT (-73.97417745 40.64505416999999),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_853b0_5938480ca96c4.jpg
13212,1496843127.67,33.0,22.1208098295,POINT (-73.974197825 40.645154755),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_daa79_5938480d20bef.jpg
13528,1496843130.68,34.0,26.0073498559,POINT (-73.97424082000001 40.64526856499999),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_fed1d_5938480ca53ed.jpg
13818,1496843133.67,35.0,21.7900386371,POINT (-73.97425565500001 40.645400595),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_b21f0_5938480da3c12.jpg
14184,1496843136.66,36.0,20.4083681013,POINT (-73.97425495499999 40.645525245),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_1f9ff_59384811257ee.jpg
14426,1496843139.66,37.0,26.8882533138,POINT (-73.97427675500001 40.645670055),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_9bca1_59384810e07c2.jpg
14635,1496843141.65,38.0,20.3730539528,POINT (-73.97429631 40.645769),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_93718_5938481295c2d.jpg
14851,1496843143.66,39.0,20.4316371082,POINT (-73.97431062 40.645852965),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_cd0d1_59384812434b0.jpg
15151,1496843146.65,40.0,31.6100025087,POINT (-73.974323505 40.64597784),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_c7588_593848145200a.jpg
15481,1496843149.66,41.0,23.7085341317,POINT (-73.974354795 40.646107065),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_fd107_59384815dc949.jpg
15751,1496843152.65,42.0,25.2193700917,POINT (-73.974370595 40.64629684000001),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_cf5d3_59384815a2d9d.jpg
15852,1496843153.64,43.0,17.9094756826,POINT (-73.974380225 40.64634662),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_4f7fc_59384816751cd.jpg
16055,1496843155.68,44.0,22.7032470272,POINT (-73.97439875500001 40.646423515),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_9876c_5938481967e0c.jpg
16355,1496843158.64,45.0,21.3303733847,POINT (-73.974418685 40.64656514000001),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_32a03_59384818b64e9.jpg
16568,1496843160.67,46.0,25.0299295239,POINT (-73.97444906 40.64666497),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_55031_5938481aa15d4.jpg
16771,1496843162.65,47.0,23.2892206102,POINT (-73.97447787 40.64678039000001),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_21747_5938481ab9d0d.jpg
16974,1496843164.65,48.0,24.070609113,POINT (-73.97451232 40.64689781),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_3f93d_5938481bc772a.jpg
17180,1496843166.65,49.0,31.999215244,POINT (-73.97454456 40.64700648),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_cf0a5_5938481e98be3.jpg
17377,1496843168.65,50.0,27.0698523872,POINT (-73.97457366 40.64712213),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_615f5_5938481ed4546.jpg
17581,1496843170.64,51.0,27.9255714531,POINT (-73.97460783 40.647217895),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_3571a_5938481ee6e7e.jpg
17807,1496843172.65,52.0,45.6883416384,POINT (-73.97463513 40.64731135),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_baaf9_593848200cf25.jpg
18092,1496843175.64,53.0,22.7086350892,POINT (-73.974654165 40.6474372),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_5f5f9_59384822b69ca.jpg
18405,1496843178.67,54.0,15.2062422859,POINT (-73.97466253 40.64756717500001),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_db8e7_593848239751a.jpg
18716,1496843181.64,55.0,18.4506803637,POINT (-73.97466115 40.647617965),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_86fd4_5938482444b1c.jpg
19421,1496843188.66,56.0,39.6855576338,POINT (-73.97467377000001 40.64767145),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_2f126_593848250f70a.jpg
19832,1496843192.64,57.0,31.9472526657,POINT (-73.974699555 40.64775206500001),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_4ede2_59384827e7425.jpg
20129,1496843195.65,58.0,36.8780203171,POINT (-73.97471655999999 40.647845425),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_949ba_593848282b236.jpg
20467,1496843198.66,59.0,38.6372844494,POINT (-73.974753085 40.64798769),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_7946f_59384829d55a8.jpg
20648,1496843200.64,60.0,35.7941003973,POINT (-73.97476768999999 40.64809725000001),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_5aa7f_5938482a1bbbe.jpg
20843,1496843202.65,61.0,51.8371955162,POINT (-73.974786145 40.64818408),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_d3139_5938482b3ed4c.jpg
21069,1496843204.67,62.0,47.3941022537,POINT (-73.97480079499999 40.648265665),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_b241d_59384830a1cd9.jpg
21250,1496843206.65,63.0,44.7043587167,POINT (-73.974815995 40.648343215),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_4a9ce_5938482f5ed67.jpg
21561,1496843209.66,64.0,38.7256943551,POINT (-73.97487950999999 40.64850085),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_ea30d_5938482e3ed72.jpg
21760,1496843211.65,65.0,60.0256160987,POINT (-73.97488928 40.6485898),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_3962e_5938482fa86bd.jpg
22065,1496843214.65,66.0,46.1242599662,POINT (-73.974918335 40.64871127),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_28c03_5938483152217.jpg
22383,1496843217.66,67.0,41.9169318141,POINT (-73.97490629500001 40.648843005),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_af9b8_59384833f1fb7.jpg
22726,1496843220.65,68.0,26.6875598654,POINT (-73.974924985 40.648983255),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_59aa2_593848333028d.jpg
22885,1496843222.67,69.0,23.6363149476,POINT (-73.974932 40.649097095),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_5f35e_59384835c0b99.jpg
23076,1496843224.65,70.0,32.1188813506,POINT (-73.97495223999999 40.6491726),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_6ecfd_59384835500dc.jpg
23388,1496843227.66,71.0,44.6291466524,POINT (-73.974999255 40.64928430000001),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_59a41_59384836b8b41.jpg
23605,1496843229.65,72.0,35.0858875334,POINT (-73.975014675 40.649389625),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_e1c9b_593848385ffbc.jpg
23827,1496843231.65,73.0,31.9269210039,POINT (-73.975000475 40.64947975),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_6f186_5938483a78744.jpg
