long,lat,accelerationX,accelerationY,accelerationZ
321,,,-0.06306671,0.40910155,-0.4267946
323,,,0.37028196,0.35210356,-0.33468735
325,,,0.37028196,0.35210356,-0.33468735
327,,,0.37028196,0.35210356,-0.33468735
329,,,0.37028196,0.35210356,-0.33468735
331,,,0.37028196,0.35210356,-0.33468735
333,,,-0.38010445,0.17659967,0.30601308
335,,,-0.38010445,0.17659967,0.30601308
337,,,-0.38010445,0.17659967,0.30601308
339,,,-0.38010445,0.17659967,0.30601308
341,,,-0.38010445,0.17659967,0.30601308
343,,,-0.018905114,0.5439494,-0.33440056
345,,,-0.018905114,0.5439494,-0.33440056
347,,,-0.018905114,0.5439494,-0.33440056
349,,,-0.018905114,0.5439494,-0.33440056
351,,,-0.018905114,0.5439494,-0.33440056
353,,,-0.17451073,-0.44288796,1.3424953
355,,,-0.17451073,-0.44288796,1.3424953
357,,,-0.17451073,-0.44288796,1.3424953
359,,,-0.17451073,-0.44288796,1.3424953
361,,,-0.17451073,-0.44288796,1.3424953
363,,,0.28989083,0.33172312,-0.53611946
365,,,0.28989083,0.33172312,-0.53611946
367,,,0.28989083,0.33172312,-0.53611946
369,,,0.28989083,0.33172312,-0.53611946
371,,,0.28989083,0.33172312,-0.53611946
373,,,-0.055206954,0.16442676,0.55963165
375,,,-0.055206954,0.16442676,0.55963165
377,,,-0.055206954,0.16442676,0.55963165
379,,,-0.055206954,0.16442676,0.55963165
381,,,-0.055206954,0.16442676,0.55963165
383,,,-0.05231565,0.5334084,-0.6490052
385,,,-0.05231565,0.5334084,-0.6490052
387,,,-0.05231565,0.5334084,-0.6490052
389,,,-0.05231565,0.5334084,-0.6490052
391,,,-0.05231565,0.5334084,-0.6490052
393,,,-0.7793346,0.44780803,-0.06543701
395,,,-0.7793346,0.44780803,-0.06543701
397,,,-0.7793346,0.44780803,-0.06543701
399,,,-0.7793346,0.44780803,-0.06543701
401,,,-0.7793346,0.44780803,-0.06543701
403,,,-0.37587753,0.024428165,-0.35349068
405,,,-0.37587753,0.024428165,-0.35349068
407,,,-0.37587753,0.024428165,-0.35349068
409,,,-0.37587753,0.024428165,-0.35349068
411,,,-0.37587753,0.024428165,-0.35349068
413,,,-0.25744197,-0.1271073,0.5578116
415,,,-0.25744197,-0.1271073,0.5578116
417,,,-0.25744197,-0.1271073,0.5578116
419,,,-0.25744197,-0.1271073,0.5578116
421,,,-0.25744197,-0.1271073,0.5578116
423,,,0.39715692,0.26049986,-0.46550575
425,,,0.39715692,0.26049986,-0.46550575
